IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.30.229,4,4,0.00,1.30,0.00,N/A
172.65.12.225,4,4,0.00,1.30,0.00,N/A
172.65.173.33,4,4,0.00,1.31,0.00,N/A
104.21.195.3,4,4,0.00,1.31,0.00,N/A
172.65.185.251,4,4,0.00,1.31,0.00,N/A
172.65.225.189,4,4,0.00,1.31,0.00,N/A
172.65.168.64,4,4,0.00,1.31,0.00,N/A
104.24.65.55,4,4,0.00,1.31,0.00,N/A
172.67.78.77,4,4,0.00,1.31,0.00,N/A
104.21.104.48,4,4,0.00,1.31,0.00,N/A
172.66.128.217,4,4,0.00,1.31,0.00,N/A
172.65.219.23,4,4,0.00,1.31,0.00,N/A
172.65.204.37,4,4,0.00,1.31,0.00,N/A
172.65.63.185,4,4,0.00,1.31,0.00,N/A
104.27.194.60,4,4,0.00,1.31,0.00,N/A
172.65.116.250,4,4,0.00,1.31,0.00,N/A
172.67.107.225,4,4,0.00,1.31,0.00,N/A
172.64.189.239,4,4,0.00,1.31,0.00,N/A
104.24.10.115,4,4,0.00,1.31,0.00,N/A
172.65.216.99,4,4,0.00,1.32,0.00,N/A
104.21.23.144,4,4,0.00,1.32,0.00,N/A
104.24.11.201,4,4,0.00,1.32,0.00,N/A
104.21.22.124,4,4,0.00,1.32,0.00,N/A
104.21.101.111,4,4,0.00,1.32,0.00,N/A
104.21.17.85,4,4,0.00,1.33,0.00,N/A
172.66.3.37,4,4,0.00,1.33,0.00,N/A
172.65.223.91,4,4,0.00,1.33,0.00,N/A
172.67.239.207,4,4,0.00,1.33,0.00,N/A
104.24.2.226,4,4,0.00,1.33,0.00,N/A
172.65.207.124,4,4,0.00,1.33,0.00,N/A
104.27.0.65,4,4,0.00,1.33,0.00,N/A
104.24.140.100,4,4,0.00,1.33,0.00,N/A
172.65.83.128,4,4,0.00,1.33,0.00,N/A
172.65.95.146,4,4,0.00,1.33,0.00,N/A
172.65.240.41,4,4,0.00,1.33,0.00,N/A
172.65.130.108,4,4,0.00,1.33,0.00,N/A
104.24.85.50,4,4,0.00,1.34,0.00,N/A
162.159.141.55,4,4,0.00,1.34,0.00,N/A
104.21.89.41,4,4,0.00,1.34,0.00,N/A
172.65.79.14,4,4,0.00,1.34,0.00,N/A
104.21.43.76,4,4,0.00,1.34,0.00,N/A
104.27.200.26,4,4,0.00,1.34,0.00,N/A
172.65.121.202,4,4,0.00,1.34,0.00,N/A
172.65.243.106,4,4,0.00,1.34,0.00,N/A
172.65.73.226,4,4,0.00,1.34,0.00,N/A
172.65.87.146,4,4,0.00,1.34,0.00,N/A
104.24.92.213,4,4,0.00,1.34,0.00,N/A
172.65.118.195,4,4,0.00,1.34,0.00,N/A
172.65.2.38,4,4,0.00,1.34,0.00,N/A
104.21.83.187,4,4,0.00,1.34,0.00,N/A
172.65.74.45,4,4,0.00,1.34,0.00,N/A
104.24.89.85,4,4,0.00,1.35,0.00,N/A
172.65.254.195,4,4,0.00,1.35,0.00,N/A
104.21.123.33,4,4,0.00,1.35,0.00,N/A
104.24.94.191,4,4,0.00,1.35,0.00,N/A
172.65.174.219,4,4,0.00,1.35,0.00,N/A
172.67.129.0,4,4,0.00,1.35,0.00,N/A
172.65.58.130,4,4,0.00,1.35,0.00,N/A
172.65.20.143,4,4,0.00,1.35,0.00,N/A
172.64.150.143,4,4,0.00,1.35,0.00,N/A
172.65.180.27,4,4,0.00,1.35,0.00,N/A
172.65.184.118,4,4,0.00,1.35,0.00,N/A
104.21.105.15,4,4,0.00,1.35,0.00,N/A
172.65.193.192,4,4,0.00,1.35,0.00,N/A
172.65.13.112,4,4,0.00,1.35,0.00,N/A
172.65.145.36,4,4,0.00,1.36,0.00,N/A
104.21.91.38,4,4,0.00,1.36,0.00,N/A
172.67.244.88,4,4,0.00,1.36,0.00,N/A
172.65.160.249,4,4,0.00,1.36,0.00,N/A
172.65.211.91,4,4,0.00,1.36,0.00,N/A
104.21.36.12,4,4,0.00,1.36,0.00,N/A
104.21.192.197,4,4,0.00,1.36,0.00,N/A
104.27.204.4,4,4,0.00,1.36,0.00,N/A
104.21.85.236,4,4,0.00,1.36,0.00,N/A
172.65.88.27,4,4,0.00,1.36,0.00,N/A
104.21.74.105,4,4,0.00,1.36,0.00,N/A
172.67.115.89,4,4,0.00,1.36,0.00,N/A
104.21.119.46,4,4,0.00,1.36,0.00,N/A
104.21.194.16,4,4,0.00,1.36,0.00,N/A
172.65.34.136,4,4,0.00,1.36,0.00,N/A
104.21.55.85,4,4,0.00,1.36,0.00,N/A
172.65.7.32,4,4,0.00,1.36,0.00,N/A
172.65.66.74,4,4,0.00,1.36,0.00,N/A
172.65.101.236,4,4,0.00,1.36,0.00,N/A
172.65.77.160,4,4,0.00,1.36,0.00,N/A
172.65.65.254,4,4,0.00,1.37,0.00,N/A
104.21.96.103,4,4,0.00,1.37,0.00,N/A
172.65.245.174,4,4,0.00,1.37,0.00,N/A
104.21.11.133,4,4,0.00,1.37,0.00,N/A
172.65.162.19,4,4,0.00,1.37,0.00,N/A
172.64.148.78,4,4,0.00,1.37,0.00,N/A
104.24.25.222,4,4,0.00,1.37,0.00,N/A
104.21.57.129,4,4,0.00,1.37,0.00,N/A
172.65.208.254,4,4,0.00,1.37,0.00,N/A
172.65.78.190,4,4,0.00,1.38,0.00,N/A
172.67.71.252,4,4,0.00,1.38,0.00,N/A
172.65.39.71,4,4,0.00,1.38,0.00,N/A
104.27.1.8,4,4,0.00,1.38,0.00,N/A
172.65.31.65,4,4,0.00,1.38,0.00,N/A
172.67.120.112,4,4,0.00,1.38,0.00,N/A
172.65.149.184,4,4,0.00,1.38,0.00,N/A
104.24.12.24,4,4,0.00,1.38,0.00,N/A
172.64.75.215,4,4,0.00,1.38,0.00,N/A
172.65.69.113,4,4,0.00,1.38,0.00,N/A
172.65.244.148,4,4,0.00,1.38,0.00,N/A
172.65.104.141,4,4,0.00,1.38,0.00,N/A
172.65.9.122,4,4,0.00,1.39,0.00,N/A
172.64.52.116,4,4,0.00,1.39,0.00,N/A
104.24.0.51,4,4,0.00,1.39,0.00,N/A
172.66.129.60,4,4,0.00,1.39,0.00,N/A
104.21.92.113,4,4,0.00,1.39,0.00,N/A
172.65.106.152,4,4,0.00,1.39,0.00,N/A
172.65.144.136,4,4,0.00,1.39,0.00,N/A
172.65.55.46,4,4,0.00,1.39,0.00,N/A
104.24.77.198,4,4,0.00,1.39,0.00,N/A
172.65.131.160,4,4,0.00,1.39,0.00,N/A
104.24.14.192,4,4,0.00,1.39,0.00,N/A
162.159.128.93,4,4,0.00,1.39,0.00,N/A
104.21.20.218,4,4,0.00,1.39,0.00,N/A
172.65.161.196,4,4,0.00,1.40,0.00,N/A
172.67.253.185,4,4,0.00,1.40,0.00,N/A
172.65.171.200,4,4,0.00,1.40,0.00,N/A
104.21.127.151,4,4,0.00,1.40,0.00,N/A
104.21.95.252,4,4,0.00,1.40,0.00,N/A
172.65.60.83,4,4,0.00,1.40,0.00,N/A
172.66.43.138,4,4,0.00,1.40,0.00,N/A
172.65.108.235,4,4,0.00,1.40,0.00,N/A
104.21.41.145,4,4,0.00,1.40,0.00,N/A
172.65.112.121,4,4,0.00,1.40,0.00,N/A
172.65.183.252,4,4,0.00,1.40,0.00,N/A
104.21.64.68,4,4,0.00,1.40,0.00,N/A
104.24.61.97,4,4,0.00,1.41,0.00,N/A
104.24.59.127,4,4,0.00,1.41,0.00,N/A
172.65.113.179,4,4,0.00,1.41,0.00,N/A
172.65.186.171,4,4,0.00,1.41,0.00,N/A
172.65.123.227,4,4,0.00,1.41,0.00,N/A
172.65.232.240,4,4,0.00,1.41,0.00,N/A
172.65.175.149,4,4,0.00,1.41,0.00,N/A
104.21.12.108,4,4,0.00,1.41,0.00,N/A
104.21.122.26,4,4,0.00,1.41,0.00,N/A
172.65.84.48,4,4,0.00,1.41,0.00,N/A
172.67.113.2,4,4,0.00,1.41,0.00,N/A
104.21.70.62,4,4,0.00,1.41,0.00,N/A
172.67.255.210,4,4,0.00,1.41,0.00,N/A
104.24.50.87,4,4,0.00,1.41,0.00,N/A
104.24.93.11,4,4,0.00,1.41,0.00,N/A
104.21.33.5,4,4,0.00,1.42,0.00,N/A
172.67.73.174,4,4,0.00,1.42,0.00,N/A
104.21.87.253,4,4,0.00,1.42,0.00,N/A
104.21.72.34,4,4,0.00,1.42,0.00,N/A
172.65.16.179,4,4,0.00,1.42,0.00,N/A
162.159.142.149,4,4,0.00,1.42,0.00,N/A
104.24.31.171,4,4,0.00,1.42,0.00,N/A
172.65.206.224,4,4,0.00,1.42,0.00,N/A
104.21.86.4,4,4,0.00,1.42,0.00,N/A
172.65.114.15,4,4,0.00,1.42,0.00,N/A
172.65.111.151,4,4,0.00,1.42,0.00,N/A
104.24.79.184,4,4,0.00,1.42,0.00,N/A
104.24.95.100,4,4,0.00,1.42,0.00,N/A
172.65.62.186,4,4,0.00,1.42,0.00,N/A
172.65.24.160,4,4,0.00,1.43,0.00,N/A
172.66.47.243,4,4,0.00,1.43,0.00,N/A
104.24.63.94,4,4,0.00,1.43,0.00,N/A
104.24.74.234,4,4,0.00,1.43,0.00,N/A
172.64.145.58,4,4,0.00,1.43,0.00,N/A
104.21.94.129,4,4,0.00,1.43,0.00,N/A
104.21.118.151,4,4,0.00,1.43,0.00,N/A
172.65.242.68,4,4,0.00,1.44,0.00,N/A
172.65.179.150,4,4,0.00,1.44,0.00,N/A
172.67.172.74,4,4,0.00,1.44,0.00,N/A
104.21.124.130,4,4,0.00,1.44,0.00,N/A
162.159.138.18,4,4,0.00,1.44,0.00,N/A
172.65.44.113,4,4,0.00,1.44,0.00,N/A
172.65.72.86,4,4,0.00,1.44,0.00,N/A
172.64.155.104,4,4,0.00,1.44,0.00,N/A
172.65.75.187,4,4,0.00,1.44,0.00,N/A
104.21.27.146,4,4,0.00,1.44,0.00,N/A
172.64.144.201,4,4,0.00,1.44,0.00,N/A
104.21.2.225,4,4,0.00,1.44,0.00,N/A
104.24.19.170,4,4,0.00,1.44,0.00,N/A
172.67.250.168,4,4,0.00,1.44,0.00,N/A
104.24.80.175,4,4,0.00,1.45,0.00,N/A
172.65.94.117,4,4,0.00,1.45,0.00,N/A
104.27.201.224,4,4,0.00,1.45,0.00,N/A
172.65.6.57,4,4,0.00,1.45,0.00,N/A
172.65.119.178,4,4,0.00,1.45,0.00,N/A
104.21.88.110,4,4,0.00,1.45,0.00,N/A
172.65.138.249,4,4,0.00,1.45,0.00,N/A
104.21.100.119,4,4,0.00,1.45,0.00,N/A
172.65.3.235,4,4,0.00,1.45,0.00,N/A
172.65.70.52,4,4,0.00,1.45,0.00,N/A
104.21.68.60,4,4,0.00,1.45,0.00,N/A
104.21.44.201,4,4,0.00,1.45,0.00,N/A
104.21.5.133,4,4,0.00,1.46,0.00,N/A
172.65.67.34,4,4,0.00,1.46,0.00,N/A
104.21.10.238,4,4,0.00,1.46,0.00,N/A
162.159.137.251,4,4,0.00,1.46,0.00,N/A
172.65.139.130,4,4,0.00,1.46,0.00,N/A
104.21.125.104,4,4,0.00,1.46,0.00,N/A
104.21.31.89,4,4,0.00,1.46,0.00,N/A
104.24.131.143,4,4,0.00,1.46,0.00,N/A
104.24.87.117,4,4,0.00,1.46,0.00,N/A
104.24.18.183,4,4,0.00,1.47,0.00,N/A
104.21.81.232,4,4,0.00,1.47,0.00,N/A
104.21.206.143,4,4,0.00,1.47,0.00,N/A
172.64.82.46,4,4,0.00,1.47,0.00,N/A
104.21.202.63,4,4,0.00,1.47,0.00,N/A
104.24.45.189,4,4,0.00,1.47,0.00,N/A
172.66.133.76,4,4,0.00,1.47,0.00,N/A
104.21.71.81,4,4,0.00,1.48,0.00,N/A
172.65.136.200,4,4,0.00,1.48,0.00,N/A
104.21.66.59,4,4,0.00,1.48,0.00,N/A
104.21.32.122,4,4,0.00,1.48,0.00,N/A
172.64.35.182,4,4,0.00,1.48,0.00,N/A
104.24.23.10,4,4,0.00,1.48,0.00,N/A
172.65.41.133,4,4,0.00,1.48,0.00,N/A
104.24.24.194,4,4,0.00,1.48,0.00,N/A
104.21.4.119,4,4,0.00,1.48,0.00,N/A
104.21.19.241,4,4,0.00,1.48,0.00,N/A
172.65.182.182,4,4,0.00,1.48,0.00,N/A
172.67.110.73,4,4,0.00,1.48,0.00,N/A
172.65.89.16,4,4,0.00,1.49,0.00,N/A
172.65.61.39,4,4,0.00,1.49,0.00,N/A
104.27.192.156,4,4,0.00,1.49,0.00,N/A
172.67.231.114,4,4,0.00,1.49,0.00,N/A
172.64.187.152,4,4,0.00,1.49,0.00,N/A
172.64.154.88,4,4,0.00,1.50,0.00,N/A
104.21.121.139,4,4,0.00,1.50,0.00,N/A
104.24.91.55,4,4,0.00,1.50,0.00,N/A
104.24.28.147,4,4,0.00,1.50,0.00,N/A
104.24.15.51,4,4,0.00,1.50,0.00,N/A
104.21.111.64,4,4,0.00,1.50,0.00,N/A
104.21.198.179,4,4,0.00,1.50,0.00,N/A
104.21.67.173,4,4,0.00,1.50,0.00,N/A
104.21.196.227,4,4,0.00,1.50,0.00,N/A
172.65.99.186,4,4,0.00,1.50,0.00,N/A
104.24.46.168,4,4,0.00,1.51,0.00,N/A
104.21.54.202,4,4,0.00,1.51,0.00,N/A
172.65.115.141,4,4,0.00,1.51,0.00,N/A
104.21.58.204,4,4,0.00,1.51,0.00,N/A
104.21.97.246,4,4,0.00,1.52,0.00,N/A
104.24.7.227,4,4,0.00,1.52,0.00,N/A
172.66.42.143,4,4,0.00,1.52,0.00,N/A
172.65.100.75,4,4,0.00,1.52,0.00,N/A
172.65.76.157,4,4,0.00,1.52,0.00,N/A
104.21.65.132,4,4,0.00,1.52,0.00,N/A
104.24.21.9,4,4,0.00,1.52,0.00,N/A
104.21.98.156,4,4,0.00,1.52,0.00,N/A
104.27.3.178,4,4,0.00,1.52,0.00,N/A
172.65.158.195,4,4,0.00,1.52,0.00,N/A
172.65.50.110,4,4,0.00,1.52,0.00,N/A
172.65.103.126,4,4,0.00,1.52,0.00,N/A
104.27.4.238,4,4,0.00,1.53,0.00,N/A
172.67.238.14,4,4,0.00,1.53,0.00,N/A
104.21.48.127,4,4,0.00,1.53,0.00,N/A
172.64.185.178,4,4,0.00,1.53,0.00,N/A
162.159.152.200,4,4,0.00,1.53,0.00,N/A
172.67.103.107,4,4,0.00,1.53,0.00,N/A
104.24.90.137,4,4,0.00,1.54,0.00,N/A
104.24.27.3,4,4,0.00,1.54,0.00,N/A
104.24.49.106,4,4,0.00,1.54,0.00,N/A
172.65.56.210,4,4,0.00,1.54,0.00,N/A
104.24.53.114,4,4,0.00,1.54,0.00,N/A
172.66.2.198,4,4,0.00,1.54,0.00,N/A
104.24.17.196,4,4,0.00,1.54,0.00,N/A
104.21.13.157,4,4,0.00,1.54,0.00,N/A
104.24.83.162,4,4,0.00,1.54,0.00,N/A
172.65.81.127,4,4,0.00,1.55,0.00,N/A
172.65.43.177,4,4,0.00,1.55,0.00,N/A
162.159.206.191,4,4,0.00,1.55,0.00,N/A
172.65.236.214,4,4,0.00,1.55,0.00,N/A
172.65.4.202,4,4,0.00,1.55,0.00,N/A
172.67.72.176,4,4,0.00,1.55,0.00,N/A
104.31.16.161,4,4,0.00,1.55,0.00,N/A
172.64.100.114,4,4,0.00,1.55,0.00,N/A
104.21.45.130,4,4,0.00,1.55,0.00,N/A
172.67.230.3,4,4,0.00,1.55,0.00,N/A
104.24.76.39,4,4,0.00,1.55,0.00,N/A
104.24.22.174,4,4,0.00,1.56,0.00,N/A
104.21.47.125,4,4,0.00,1.56,0.00,N/A
172.65.51.229,4,4,0.00,1.56,0.00,N/A
172.67.108.31,4,4,0.00,1.56,0.00,N/A
104.24.128.182,4,4,0.00,1.56,0.00,N/A
172.65.165.38,4,4,0.00,1.56,0.00,N/A
104.21.39.176,4,4,0.00,1.56,0.00,N/A
172.65.226.22,4,4,0.00,1.56,0.00,N/A
172.64.152.209,4,4,0.00,1.56,0.00,N/A
104.21.14.180,4,4,0.00,1.57,0.00,N/A
104.24.138.7,4,4,0.00,1.57,0.00,N/A
172.65.227.45,4,4,0.00,1.57,0.00,N/A
172.67.192.125,4,4,0.00,1.57,0.00,N/A
104.27.203.74,4,4,0.00,1.57,0.00,N/A
172.67.208.81,4,4,0.00,1.57,0.00,N/A
172.67.252.194,4,4,0.00,1.57,0.00,N/A
172.64.153.152,4,4,0.00,1.57,0.00,N/A
172.65.5.105,4,4,0.00,1.57,0.00,N/A
172.64.229.212,4,4,0.00,1.57,0.00,N/A
162.159.195.170,4,4,0.00,1.58,0.00,N/A
104.21.82.140,4,4,0.00,1.58,0.00,N/A
172.64.42.18,4,4,0.00,1.58,0.00,N/A
172.67.182.253,4,4,0.00,1.58,0.00,N/A
104.21.90.222,4,4,0.00,1.58,0.00,N/A
172.64.76.138,4,4,0.00,1.58,0.00,N/A
104.21.6.72,4,4,0.00,1.58,0.00,N/A
104.24.42.68,4,4,0.00,1.58,0.00,N/A
104.24.64.173,4,4,0.00,1.58,0.00,N/A
104.24.137.199,4,4,0.00,1.58,0.00,N/A
172.65.122.108,4,4,0.00,1.58,0.00,N/A
172.66.132.33,4,4,0.00,1.58,0.00,N/A
172.67.75.206,4,4,0.00,1.58,0.00,N/A
104.21.109.136,4,4,0.00,1.59,0.00,N/A
172.65.107.165,4,4,0.00,1.59,0.00,N/A
104.24.130.74,4,4,0.00,1.59,0.00,N/A
104.24.26.93,4,4,0.00,1.59,0.00,N/A
