IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.228.227,4,4,0.00,1.05,0.00,N/A
172.65.92.18,4,4,0.00,1.06,0.00,N/A
172.65.128.4,4,4,0.00,1.08,0.00,N/A
172.65.140.4,4,4,0.00,1.08,0.00,N/A
172.65.147.154,4,4,0.00,1.09,0.00,N/A
172.65.194.169,4,4,0.00,1.09,0.00,N/A
172.65.218.52,4,4,0.00,1.10,0.00,N/A
172.64.49.28,4,4,0.00,1.10,0.00,N/A
172.65.29.127,4,4,0.00,1.10,0.00,N/A
172.65.215.80,4,4,0.00,1.10,0.00,N/A
172.65.137.185,4,4,0.00,1.10,0.00,N/A
172.65.148.76,4,4,0.00,1.11,0.00,N/A
172.65.250.146,4,4,0.00,1.11,0.00,N/A
172.65.188.229,4,4,0.00,1.11,0.00,N/A
172.65.23.147,4,4,0.00,1.11,0.00,N/A
172.65.30.130,4,4,0.00,1.12,0.00,N/A
104.24.3.83,4,4,0.00,1.12,0.00,N/A
172.65.134.199,4,4,0.00,1.12,0.00,N/A
104.21.126.45,4,4,0.00,1.12,0.00,N/A
172.65.142.125,4,4,0.00,1.12,0.00,N/A
172.65.21.81,4,4,0.00,1.12,0.00,N/A
172.65.220.8,4,4,0.00,1.12,0.00,N/A
172.65.234.138,4,4,0.00,1.13,0.00,N/A
172.65.80.226,4,4,0.00,1.13,0.00,N/A
172.65.224.54,4,4,0.00,1.13,0.00,N/A
172.65.190.188,4,4,0.00,1.13,0.00,N/A
104.24.16.170,4,4,0.00,1.13,0.00,N/A
172.65.82.85,4,4,0.00,1.13,0.00,N/A
172.64.46.209,4,4,0.00,1.14,0.00,N/A
172.67.187.162,4,4,0.00,1.14,0.00,N/A
172.65.239.248,4,4,0.00,1.14,0.00,N/A
172.65.177.13,4,4,0.00,1.14,0.00,N/A
172.65.146.193,4,4,0.00,1.14,0.00,N/A
172.65.135.32,4,4,0.00,1.14,0.00,N/A
104.21.80.77,4,4,0.00,1.14,0.00,N/A
172.65.164.188,4,4,0.00,1.14,0.00,N/A
172.65.25.50,4,4,0.00,1.14,0.00,N/A
172.65.247.122,4,4,0.00,1.15,0.00,N/A
172.65.202.8,4,4,0.00,1.15,0.00,N/A
172.65.22.197,4,4,0.00,1.15,0.00,N/A
172.65.19.210,4,4,0.00,1.15,0.00,N/A
172.64.34.58,4,4,0.00,1.15,0.00,N/A
172.65.18.120,4,4,0.00,1.15,0.00,N/A
104.21.69.37,4,4,0.00,1.15,0.00,N/A
104.27.205.123,4,4,0.00,1.15,0.00,N/A
172.65.201.155,4,4,0.00,1.16,0.00,N/A
172.65.102.102,4,4,0.00,1.16,0.00,N/A
104.21.203.128,4,4,0.00,1.17,0.00,N/A
172.65.85.51,4,4,0.00,1.17,0.00,N/A
172.65.150.15,4,4,0.00,1.17,0.00,N/A
172.64.230.77,4,4,0.00,1.17,0.00,N/A
172.65.117.98,4,4,0.00,1.17,0.00,N/A
172.65.187.181,4,4,0.00,1.17,0.00,N/A
172.65.196.42,4,4,0.00,1.17,0.00,N/A
172.65.125.241,4,4,0.00,1.17,0.00,N/A
172.65.167.57,4,4,0.00,1.17,0.00,N/A
104.21.9.88,4,4,0.00,1.17,0.00,N/A
172.65.229.74,4,4,0.00,1.17,0.00,N/A
172.65.127.132,4,4,0.00,1.17,0.00,N/A
172.65.26.33,4,4,0.00,1.17,0.00,N/A
172.65.141.248,4,4,0.00,1.17,0.00,N/A
172.65.176.4,4,4,0.00,1.18,0.00,N/A
172.64.37.209,4,4,0.00,1.18,0.00,N/A
172.65.93.91,4,4,0.00,1.18,0.00,N/A
172.64.33.193,4,4,0.00,1.18,0.00,N/A
172.65.192.101,4,4,0.00,1.18,0.00,N/A
172.64.68.89,4,4,0.00,1.18,0.00,N/A
104.21.34.17,4,4,0.00,1.18,0.00,N/A
172.65.197.63,4,4,0.00,1.18,0.00,N/A
172.64.48.147,4,4,0.00,1.18,0.00,N/A
172.65.15.121,4,4,0.00,1.18,0.00,N/A
172.65.105.63,4,4,0.00,1.18,0.00,N/A
104.21.3.27,4,4,0.00,1.18,0.00,N/A
172.65.200.123,4,4,0.00,1.19,0.00,N/A
104.21.50.18,4,4,0.00,1.19,0.00,N/A
172.65.210.167,4,4,0.00,1.19,0.00,N/A
172.65.91.138,4,4,0.00,1.19,0.00,N/A
104.21.76.121,4,4,0.00,1.19,0.00,N/A
172.65.195.171,4,4,0.00,1.19,0.00,N/A
104.21.42.59,4,4,0.00,1.19,0.00,N/A
172.65.33.223,4,4,0.00,1.19,0.00,N/A
104.21.0.222,4,4,0.00,1.19,0.00,N/A
172.65.32.42,4,4,0.00,1.19,0.00,N/A
172.65.126.213,4,4,0.00,1.20,0.00,N/A
172.65.235.88,4,4,0.00,1.20,0.00,N/A
172.65.237.38,4,4,0.00,1.20,0.00,N/A
172.65.42.188,4,4,0.00,1.20,0.00,N/A
172.65.90.118,4,4,0.00,1.20,0.00,N/A
172.65.221.247,4,4,0.00,1.21,0.00,N/A
104.21.40.95,4,4,0.00,1.21,0.00,N/A
172.65.209.32,4,4,0.00,1.21,0.00,N/A
172.65.249.43,4,4,0.00,1.21,0.00,N/A
172.65.86.136,4,4,0.00,1.21,0.00,N/A
104.24.70.125,4,4,0.00,1.21,0.00,N/A
172.65.253.190,4,4,0.00,1.21,0.00,N/A
172.65.133.140,4,4,0.00,1.21,0.00,N/A
104.21.59.237,4,4,0.00,1.21,0.00,N/A
172.64.38.10,4,4,0.00,1.21,0.00,N/A
172.65.96.204,4,4,0.00,1.21,0.00,N/A
172.64.232.163,4,4,0.00,1.22,0.00,N/A
172.64.235.172,4,4,0.00,1.22,0.00,N/A
172.65.54.79,4,4,0.00,1.22,0.00,N/A
172.65.45.210,4,4,0.00,1.22,0.00,N/A
172.65.1.197,4,4,0.00,1.22,0.00,N/A
172.65.110.19,4,4,0.00,1.22,0.00,N/A
172.65.205.241,4,4,0.00,1.22,0.00,N/A
172.64.50.214,4,4,0.00,1.23,0.00,N/A
172.65.241.203,4,4,0.00,1.23,0.00,N/A
172.66.0.212,4,4,0.00,1.23,0.00,N/A
172.64.32.194,4,4,0.00,1.23,0.00,N/A
172.65.212.189,4,4,0.00,1.23,0.00,N/A
104.27.207.186,4,4,0.00,1.23,0.00,N/A
104.21.35.177,4,4,0.00,1.23,0.00,N/A
172.65.252.116,4,4,0.00,1.23,0.00,N/A
172.65.255.114,4,4,0.00,1.23,0.00,N/A
104.21.51.254,4,4,0.00,1.24,0.00,N/A
172.65.17.251,4,4,0.00,1.24,0.00,N/A
104.27.199.69,4,4,0.00,1.24,0.00,N/A
172.65.38.201,4,4,0.00,1.24,0.00,N/A
172.65.169.173,4,4,0.00,1.25,0.00,N/A
172.65.64.113,4,4,0.00,1.25,0.00,N/A
104.21.18.97,4,4,0.00,1.25,0.00,N/A
172.65.59.78,4,4,0.00,1.25,0.00,N/A
172.65.251.230,4,4,0.00,1.25,0.00,N/A
172.65.214.80,4,4,0.00,1.25,0.00,N/A
104.21.16.53,4,4,0.00,1.25,0.00,N/A
104.21.117.70,4,4,0.00,1.25,0.00,N/A
172.67.105.115,4,4,0.00,1.25,0.00,N/A
104.21.99.36,4,4,0.00,1.25,0.00,N/A
172.65.129.123,4,4,0.00,1.25,0.00,N/A
104.21.52.105,4,4,0.00,1.26,0.00,N/A
172.65.203.49,4,4,0.00,1.26,0.00,N/A
172.65.213.91,4,4,0.00,1.26,0.00,N/A
172.65.222.34,4,4,0.00,1.26,0.00,N/A
172.65.57.108,4,4,0.00,1.26,0.00,N/A
172.65.178.88,4,4,0.00,1.26,0.00,N/A
162.159.135.3,4,4,0.00,1.26,0.00,N/A
172.65.143.150,4,4,0.00,1.26,0.00,N/A
172.65.246.227,4,4,0.00,1.26,0.00,N/A
104.21.28.159,4,4,0.00,1.26,0.00,N/A
104.21.53.184,4,4,0.00,1.27,0.00,N/A
172.64.41.68,4,4,0.00,1.27,0.00,N/A
172.65.191.190,4,4,0.00,1.27,0.00,N/A
104.24.60.19,4,4,0.00,1.27,0.00,N/A
172.65.11.146,4,4,0.00,1.27,0.00,N/A
104.21.21.194,4,4,0.00,1.27,0.00,N/A
172.65.230.101,4,4,0.00,1.27,0.00,N/A
104.24.20.83,4,4,0.00,1.27,0.00,N/A
172.65.231.9,4,4,0.00,1.27,0.00,N/A
172.65.248.108,4,4,0.00,1.28,0.00,N/A
172.65.170.96,4,4,0.00,1.28,0.00,N/A
104.21.15.21,4,4,0.00,1.28,0.00,N/A
162.159.134.30,4,4,0.00,1.28,0.00,N/A
172.65.97.147,4,4,0.00,1.28,0.00,N/A
172.65.132.152,4,4,0.00,1.28,0.00,N/A
104.24.5.135,4,4,0.00,1.28,0.00,N/A
172.67.76.188,4,4,0.00,1.28,0.00,N/A
172.65.0.64,4,4,0.00,1.28,0.00,N/A
172.65.172.35,4,4,0.00,1.28,0.00,N/A
104.24.82.117,4,4,0.00,1.28,0.00,N/A
172.65.238.43,4,4,0.00,1.29,0.00,N/A
104.24.13.145,4,4,0.00,1.29,0.00,N/A
172.64.36.146,4,4,0.00,1.29,0.00,N/A
162.159.140.171,4,4,0.00,1.29,0.00,N/A
172.65.37.177,4,4,0.00,1.29,0.00,N/A
172.65.233.48,4,4,0.00,1.29,0.00,N/A
104.24.58.20,4,4,0.00,1.29,0.00,N/A
104.21.93.113,4,4,0.00,1.29,0.00,N/A
172.65.124.231,4,4,0.00,1.29,0.00,N/A
172.64.231.138,4,4,0.00,1.29,0.00,N/A
172.65.163.100,4,4,0.00,1.29,0.00,N/A
172.64.233.200,4,4,0.00,1.29,0.00,N/A
172.65.198.205,4,4,0.00,1.29,0.00,N/A
172.64.47.195,4,4,0.00,1.29,0.00,N/A
172.67.188.224,4,4,0.00,1.29,0.00,N/A
104.24.29.46,4,4,0.00,1.29,0.00,N/A
172.65.120.14,4,4,0.00,1.30,0.00,N/A
172.65.199.89,4,4,0.00,1.30,0.00,N/A
172.65.28.30,4,4,0.00,1.30,0.00,N/A
172.65.36.137,4,4,0.00,1.30,0.00,N/A
104.27.2.179,4,4,0.00,1.30,0.00,N/A
104.21.49.184,4,4,0.00,1.30,0.00,N/A
104.24.68.205,4,4,0.00,1.30,0.00,N/A
